0	600102	600181	600755	599619	599989	599658	599828	599967	600331	600490	600783	599881	600345	600146	600613	599139	600082	599496	599980	599697	600959	600149	600339	599926	599542	599772	599668	600085	600387	599708	600390	599456	599874	599606	600760	600107	599956	599294	599910	599712	600019	600094	600287	599785	599813	599653	599590	599713	599753	599674	600164	600182	600153	600472	600483	600308	599731	600145	600206	599965	599844	599096	599845	600030	599679	599333	600353	600469	600635	600041	599899	600386	600298	600696	600391	599241	600496	600071	600569	600317	599952	599831	600069	599875	599887	600006	599662	600380	600369	599850	600513	600689	599880	599765	600237	599150	599777	600431	600412	600426
1	148263	148585	147665	148997	148360	149511	148381	148745	148411	148148	148160	148967	147614	148010	148201	149444	148340	149686	148787	148062	147506	148114	148257	148603	149993	148355	149171	148745	148207	149075	147990	149857	148537	148988	147631	148532	148809	149695	148821	148887	148399	148362	148864	148691	148791	149659	149195	149078	148379	148824	148694	148715	148632	148252	147589	148376	149346	148837	148386	148765	148784	150054	148894	148281	148160	149569	148324	147544	147368	147998	149069	148139	148085	147971	148150	149236	148024	148559	147277	147905	149083	148749	148972	148231	149360	148704	149289	147973	147812	148371	148710	147848	149184	149254	148143	149288	148618	148191	148046	147479
2	131102	131777	131080	132692	131598	132392	131205	131948	131241	130576	131292	131739	130798	131186	130943	132211	131149	132317	131737	131360	129414	131219	131276	131516	132592	131388	131621	131529	131156	131875	130882	131937	131443	132217	130922	131208	131829	132821	132011	132527	130904	131038	131644	131012	131984	133057	132162	132323	131592	131838	131797	131559	131630	131466	130856	131445	131976	132212	131886	131344	131604	132526	132145	131013	131471	132377	131494	130124	130811	131104	131508	131133	131595	131032	130874	132139	131261	132112	130450	131041	131640	131464	132415	131027	132279	131708	132265	131447	130333	131860	131607	130413	132085	132938	131140	132151	131176	131110	130996	131056
3	127022	127611	126682	128264	127340	127720	127121	127950	127324	126506	127095	127412	126253	127074	126624	128237	127184	128113	127477	127006	125081	126385	127454	126605	128368	126867	127789	128224	127383	127664	126292	127957	127371	127784	126221	126683	127524	128313	127339	128598	126614	126648	128423	127412	127487	128231	128612	127736	127209	127543	127401	127270	127356	127370	126560	127630	127197	127506	127663	126966	127403	128541	128474	126806	127196	127964	127624	125963	126459	126941	127486	127187	126689	127079	127056	128015	127121	127550	125916	126927	127578	127556	128509	126728	128713	127273	128124	127367	126284	127708	127364	126181	128233	128031	127422	127985	126973	127199	127090	126504
4	122834	124005	122965	124852	123221	124078	122717	123395	123440	122597	123596	124111	122905	123363	122895	124280	123147	124568	123321	123055	121153	123186	123060	123161	124643	123162	123761	124266	123749	123932	122825	124020	123560	124055	123162	123444	123684	124719	123824	124471	123156	123123	124097	123696	123666	124890	124666	124304	123977	124367	123617	123369	123593	123676	122322	123526	123944	124256	124299	123696	123283	123920	125015	122545	123312	124289	124035	122324	123039	123522	124116	123022	123156	122881	123972	123967	123645	124317	122381	123542	123985	123741	124733	123254	125002	123522	124465	123236	122257	123832	123862	123014	124202	125280	123446	124455	123048	123409	123413	123390
5	121275	122418	121397	122903	121908	122796	121651	122350	122445	121078	122114	122735	121079	121365	121064	122808	121988	123313	121598	122052	118870	122127	121854	121654	122601	121906	122607	123022	122286	122533	120526	122350	122530	123052	121237	121601	122127	123072	122240	123136	121425	121850	122915	122465	122412	122849	122849	122922	122438	122890	121299	121982	121895	121598	120949	121920	122194	122802	122605	122019	121658	122724	123227	121220	122296	122770	122777	120720	121519	121857	122912	121496	121338	121392	122435	123145	121607	122683	121201	121876	122937	122638	123256	121863	123133	121646	123285	121712	120700	122523	122394	121710	123483	123186	121878	123020	121345	122674	122000	121592
6	119166	120769	119202	121155	120047	120679	118916	120385	120499	118964	120003	120494	119637	120256	119160	121574	119681	121375	119392	120117	117449	120452	120127	119437	120547	119284	120532	121711	119905	120434	119198	120007	120396	121194	118925	120462	119978	120965	120451	121388	120287	119999	121586	120241	119654	120932	120436	120897	120609	120884	120015	120012	119990	119893	119443	120276	120414	121245	121360	120620	120051	120959	121396	119841	120499	120211	121089	118689	119924	120181	121007	119469	120227	119977	120388	121598	120157	120937	119583	119690	121269	120932	121511	119062	121429	119899	121451	120016	118836	120775	120447	119071	121305	122147	119565	121335	119674	120741	119846	119413
7	118593	120025	118552	120413	119418	119876	118389	119188	119857	118001	118937	119437	118267	119321	118489	120322	118837	120109	118240	119427	116553	119293	119204	118803	119744	118747	119601	120087	119419	119465	118528	119173	119583	120896	118146	119620	118946	120291	120196	121090	119414	118977	120116	118905	118556	119424	119229	119971	119506	120169	118806	119197	119766	118769	119065	119210	120023	119954	120198	119550	118951	120263	120375	118686	119757	119831	119593	117948	119359	119156	119963	118130	118988	119364	119675	120662	118562	120033	118690	118741	120599	120569	120120	118689	120409	118357	121165	119322	118172	120716	119334	118904	119666	120927	118675	120651	118755	120429	119290	117659
8	117250	119287	117016	119617	118588	119281	117327	118347	119628	117244	118557	118807	118138	118661	118011	120609	118079	119539	118051	118596	116417	118582	118529	118089	119017	118068	119159	120126	118372	118647	117400	118060	118660	119446	117018	119354	118131	119076	119018	120061	119049	118468	119543	118279	117798	118773	118555	119668	119089	119248	118202	118655	119386	118147	117944	118870	118737	119783	119994	119480	118631	119559	119575	118281	118827	119153	118594	117535	118790	118674	118558	117681	118423	119074	118133	120027	117832	119440	118412	118897	119449	119396	119380	118324	120018	117746	119963	119166	117326	119559	119353	117822	118468	119988	117869	120188	118329	119507	118355	116992
9	117481	119172	117528	119760	118335	119044	117091	118154	119308	116627	118341	118806	118015	118726	117849	119637	118423	118991	117899	118931	115897	118398	118000	118081	118676	118135	118793	119941	118677	119075	117337	118174	118079	119825	116744	118930	118024	118623	119211	120193	118622	118293	119684	118012	117659	118471	117620	119185	118755	119289	118521	118659	118915	117309	118110	118341	118724	119193	119183	119192	117812	119314	119111	118006	119313	119418	117879	117440	118252	119255	118663	117009	118126	118648	118314	119681	117510	118850	118220	118617	119521	120024	119428	118169	119427	117320	119827	119348	117416	119641	118874	117940	118399	119392	117652	120389	118188	119088	118500	116608
